Jeu;Taille;Streak;Joueur1;Joueur2;Gagnant;TempsExecution;TotalCoups
tictactoe;3;4;alphabeta;alphabeta;Draw;40;5
tictactoe;3;5;random;random;Random;1;4
tictactoe;3;5;random;minmax;MinMax;97;4
tictactoe;3;5;random;alphabeta;AlphaBeta;5;3
tictactoe;3;5;minmax;random;MinMax;372;5
tictactoe;3;5;minmax;minmax;Draw;388;5
tictactoe;3;5;minmax;alphabeta;Draw;377;5
tictactoe;3;5;alphabeta;random;AlphaBeta;27;3
tictactoe;3;5;alphabeta;minmax;Draw;112;5
tictactoe;3;5;alphabeta;alphabeta;Draw;44;5
tictactoe;5;3;random;random;Random;1;5
tictactoe;5;3;random;minmax;MinMax;130;4
tictactoe;5;3;random;alphabeta;AlphaBeta;5;4
tictactoe;5;3;minmax;random;MinMax;394;5
tictactoe;5;3;minmax;minmax;Draw;428;5
tictactoe;5;3;minmax;alphabeta;Draw;329;5
tictactoe;5;3;alphabeta;random;AlphaBeta;22;5
tictactoe;5;3;alphabeta;minmax;Draw;87;5
tictactoe;5;3;alphabeta;alphabeta;Draw;31;5
tictactoe;5;4;random;random;Random;1;4
tictactoe;5;4;random;minmax;Draw;70;5
tictactoe;5;4;random;alphabeta;AlphaBeta;6;4
tictactoe;5;4;minmax;random;MinMax;462;4
tictactoe;5;4;minmax;minmax;Draw;397;5
tictactoe;5;4;minmax;alphabeta;Draw;415;5
tictactoe;5;4;alphabeta;random;AlphaBeta;34;3
tictactoe;5;4;alphabeta;minmax;Draw;92;5
tictactoe;5;4;alphabeta;alphabeta;Draw;27;5
tictactoe;5;5;random;random;Random;0;3
tictactoe;5;5;random;minmax;MinMax;69;4
tictactoe;5;5;random;alphabeta;AlphaBeta;5;3
tictactoe;5;5;minmax;random;MinMax;342;4
tictactoe;5;5;minmax;minmax;Draw;416;5
tictactoe;5;5;minmax;alphabeta;Draw;319;5
tictactoe;5;5;alphabeta;random;AlphaBeta;24;3
tictactoe;5;5;alphabeta;minmax;Draw;93;5
tictactoe;5;5;alphabeta;alphabeta;Draw;28;5
tictactoe;7;3;random;random;Random;0;4
tictactoe;7;3;random;minmax;MinMax;68;4
tictactoe;7;3;random;alphabeta;AlphaBeta;4;3
tictactoe;7;3;minmax;random;MinMax;320;4
tictactoe;7;3;minmax;minmax;Draw;384;5
tictactoe;7;3;minmax;alphabeta;Draw;360;5
tictactoe;7;3;alphabeta;random;AlphaBeta;28;3
tictactoe;7;3;alphabeta;minmax;Draw;88;5
tictactoe;7;3;alphabeta;alphabeta;Draw;34;5
tictactoe;7;4;random;random;Draw;1;5
tictactoe;7;4;random;minmax;MinMax;80;3
tictactoe;7;4;random;alphabeta;AlphaBeta;6;3
tictactoe;7;4;minmax;random;MinMax;486;5
tictactoe;7;4;minmax;minmax;Draw;575;5
tictactoe;7;4;minmax;alphabeta;Draw;304;5
tictactoe;7;4;alphabeta;random;AlphaBeta;22;3
tictactoe;7;4;alphabeta;minmax;Draw;92;5
tictactoe;7;4;alphabeta;alphabeta;Draw;24;5
tictactoe;7;5;random;random;Random;0;3
tictactoe;7;5;random;minmax;MinMax;62;4
tictactoe;7;5;random;alphabeta;AlphaBeta;5;3
tictactoe;7;5;minmax;random;MinMax;329;4
tictactoe;7;5;minmax;minmax;Draw;418;5
tictactoe;7;5;minmax;alphabeta;Draw;363;5
tictactoe;7;5;alphabeta;random;AlphaBeta;25;3
tictactoe;7;5;alphabeta;minmax;Draw;104;5
tictactoe;7;5;alphabeta;alphabeta;Draw;31;5
tictactoe;10;3;random;random;Random;0;4
tictactoe;10;3;random;minmax;MinMax;70;4
tictactoe;10;3;random;alphabeta;AlphaBeta;4;3
tictactoe;10;3;minmax;random;MinMax;370;3
tictactoe;10;3;minmax;minmax;Draw;478;5
tictactoe;10;3;minmax;alphabeta;Draw;370;5
tictactoe;10;3;alphabeta;random;AlphaBeta;39;4
tictactoe;10;3;alphabeta;minmax;Draw;99;5
tictactoe;10;3;alphabeta;alphabeta;Draw;27;5
tictactoe;10;4;random;random;Draw;1;5
tictactoe;10;4;random;minmax;MinMax;90;3
tictactoe;10;4;random;alphabeta;Draw;7;5
tictactoe;10;4;minmax;random;MinMax;358;4
tictactoe;10;4;minmax;minmax;Draw;430;5
tictactoe;10;4;minmax;alphabeta;Draw;415;5
tictactoe;10;4;alphabeta;random;AlphaBeta;25;3
tictactoe;10;4;alphabeta;minmax;Draw;100;5
tictactoe;10;4;alphabeta;alphabeta;Draw;27;5
tictactoe;10;5;random;random;Random;1;4
tictactoe;10;5;random;minmax;MinMax;70;3
tictactoe;10;5;random;alphabeta;AlphaBeta;7;4
tictactoe;10;5;minmax;random;MinMax;310;4
tictactoe;10;5;minmax;minmax;Draw;409;5
tictactoe;10;5;minmax;alphabeta;Draw;352;5
tictactoe;10;5;alphabeta;random;AlphaBeta;23;3
tictactoe;10;5;alphabeta;minmax;Draw;94;5
tictactoe;10;5;alphabeta;alphabeta;Draw;32;5
mnk;3;3;random;random;Random;3;4
mnk;3;3;random;minmax;MinMax;219;4
mnk;3;3;random;alphabeta;AlphaBeta;14;4
mnk;3;3;minmax;random;MinMax;747;3
mnk;3;3;minmax;minmax;Draw;421;5
mnk;3;3;minmax;alphabeta;Draw;300;5
mnk;3;3;alphabeta;random;AlphaBeta;30;4
mnk;3;3;alphabeta;minmax;Draw;88;5
mnk;3;3;alphabeta;alphabeta;Draw;26;5
mnk;3;4;random;random;Draw;0;5
mnk;3;4;random;minmax;Draw;18;5
mnk;3;4;random;alphabeta;Draw;1;5
mnk;3;4;minmax;random;Draw;68;5
mnk;3;4;minmax;minmax;Draw;90;5
